isin,ticker
BE0003555639,TESB
BE0003565737,KDB
BE0003573814,WHATS
BE0003592038,COMB
BE0003593044,COFB
BE0003599108,IMMO
BE0003602134,MOUR
BE0003604155,LOTB
BE0003656676,RECT
BE0003696102,ACCB
BE0003699130,GIMB
BE0003717312,SFNXF
BE0003720340,RET
BE0003723377,BELU
BE0003724383,WEHB
BE0003730448,QFG
BE0003731453,MIKO
BE0003734481,WEB
BE0003735496,MOS
BE0003739530,UCB
BE0003741551,ROU
BE0003748622,IEP
BE0003754687,VASTB
BE0003755692,AGE
BE0003764785,ACKB
BE0003766806,IOBCF
BE0003770840,NEXTA
BE0003773877,SOFT
BE0003789063,DECB
BE0003797140,GBLBF
BE0003808251,EXM
BE0003810273,PROX
BE0003816338,OCW
BE0003818359,GLPG
BE0003820371,EVS
BE0003822393,ELI
BE0003823409,TUB
BE0003825420,CAMB
BE0003836534,OPTIB
BE0003837540,ATEB
BE0003839561,VAN
BE0003847648,FLSP
BE0003851681,AED
BE0003853703,MONT
BE0003856730,ZYY
BE0003858751,JEN
BE0003867844,KBCA
BE0003870871,BANI
BE0003874915,4A5
BE0003878957,VGP
BE0003880979,KY3A
BE0003883031,CFEB
BE0003893139,IMMOU
BE0003898187,SISAF
BE0160342011,ALCOI
BE0165385973,MEX
BE0172505399,FBAVP
BE0948608451,MLPHO
BE0974256852,COLRB
BE0974258874,BK8N
BE0974259880,DIE
BE0974260896,CYAD
BE0974263924,TEXF
BE0974264930,4AGS
BE0974265945,FLUX
BE0974268972,BPOST
BE0974269012,ALDV
BE0974271034,VIO
BE0974272040,QRF
BE0974273055,CPINV
BE0974274061,KIN
BE0974276082,ONTEX
BE0974278104,ABO1EUR
BE0974280126,BIOS
BE0974282148,TINC
BE0974288202,XIOR
BE0974293251,ABI
BE0974299316,ALINV
BE0974303357,CENER
BE0974310428,XFAB
BE0974313455,ECONB
BE0974314461,BALTAEUR
BE0974320526,UMI
BE0974334667,ALWIN
BE0974338700,TITC
BE0974340722,SEQUA
BE0974349814,WPHB
BE0974358906,NYXH
BE0974362940,BAR
BE0974363955,HYL
BE0974370026,MLTV
BE0974371032,BANQ
BE0974374069,INCLU
BE0974380124,EKOP
BE0974386188,BTLS
BE0974400328,AZE
BE0974404361,MLMAZ
BE0974409410,HOMI
BE0974413453,DEME
BE0974464977,SYENS
BE0974487192,OXUR
BE0974497290,ALEMS
BE6360403164,TTAM
BG1100003166,SLYG
BMG0112X1056,J060
BMG0171K1018,241
BMG0171W1055,1060
BMG0403V2062,1104
BMG0411X1112,U1R1
BMG0450A1053,ACGL
BMG0451H2087,ARCH
BMG0533U2355,129
BMG0534V1256,679
BMG053845019,AHL
BMG0585R1060,AGO
BMG0670A1099,AUTO
BMG0692U1099,AXS
BMG069741020,ARU
BMG0702P1086,BWE
BMG0750C1082,AXTA
BMG0772R2087,NTB
BMG0957L1090,371
BMG095871098,KO32
BMG1118Y1214,BINHF
BMG1146K1018,686EUR
BMG1223L1054,710
BMG1466R1732,BORR
BMG1738J1247,BWO
BMG174341047,BNT
BMG1985B1138,1224
BMG202981087,1811
BMG210821051,CYD
BMG210901242,855
BMG2109G1033,384
BMG210A71016,512
BMG2112G1087,681
BMG2113B1081,1193
BMG211591018,C7Y
BMG2116Y1057,BIU2
BMG2117K1045,HHRBF
BMG2120L1072,334
BMG2122W1010,298
BMG2133H2006,SMI
BMG2154F1095,506
BMG2154Z1216,110
BMG2155W1010,603
BMG2161E1113,KG0A
BMG216341294,1371
BMG2164J1099,8083
BMG2178K1009,1038
BMG2233G2014,1141
BMG2345T1099,182
BMG2381M1091,232
BMG2415A1137,CLCO
BMG243851091,CRE
BMG2442N1048,1199
BMG2624N1535,DFI
BMG2759B1072,861
BMG3036C2239,163
BMG313891027,296
BMG3156P1032,ASA
BMG3198U1027,ESNT
BMG3223R1088,EG
BMG348041077,142
BMG359472021,FLNG
BMG3602E1084,FLOW
BMG3654D1074,418
BMG3775G1539,451
BMG383271050,G6O
BMG3922B1072,35G
BMG3939X1002,393
BMG3978C1249,493
BMG4069C1486,GHK
BMG4079W1001,583
BMG4182K1009,124
BMG420981224,53
BMG4209G2077,GKP
BMG4232X1020,TFZ
BMG427061046,HG
BMG4404N1149,136
BMG455841020,HAL
BMG4587L1090,HKL
BMG4593F1389,HSX
BMG4600H1198,754
BMG4639H1227,336
BMG4643L1019,993
